building	effect	effect_scope	value	value_damaged	value_ruined	context_requirement
#building_effects_junction_tables;0;db/building_effects_junction_tables/derpy_great_guilds						
wh2_dlc10_hef_aesanar_camp	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc10_hef_handmaidens_alarielle	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc10_hef_hunters_3	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc10_special_world_root_entrance_1	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc10_special_world_root_entrance_2	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc10_special_world_root_entrance_3	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc11_horde_def_aristocracy_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc11_horde_def_aristocracy_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc11_horde_def_exiles_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc11_horde_def_exiles_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc11_horde_def_residence_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc11_horde_def_residence_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc11_horde_def_residence_3	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc11_horde_def_riders_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc11_horde_def_riders_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc14_special_copher_port_1_brettonia	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc14_special_copher_port_2_bretonnia	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc14_special_copher_port_ruin_bretonnia	derpy_gg_built_brass_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc14_special_fyrus_holy_monastery	derpy_gg_built_overseers_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_hef_field_hq_1	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_hef_field_hq_2	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_hef_field_hq_3	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_graves_of_the_dragons_2_hef	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_graves_of_the_dragons_dwf	derpy_gg_built_overseers_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_graves_of_the_dragons_hef	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_massif_orcal_brt_1	derpy_gg_built_overseers_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_massif_orcal_brt_2	derpy_gg_built_overseers_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_massif_orcal_brt_3	derpy_gg_built_overseers_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_massif_orcal_brt_4	derpy_gg_built_overseers_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_massif_orcal_brt_5	derpy_gg_built_overseers_brt	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_tor_yvresse_def_1	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_tor_yvresse_def_2	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_tor_yvresse_def_3	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_tor_yvresse_def_4	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_tor_yvresse_def_5	derpy_gg_built_overseers_def	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_tor_yvresse_eltharion_1	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_tor_yvresse_eltharion_2	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_tor_yvresse_eltharion_3	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_tor_yvresse_eltharion_4	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_tor_yvresse_eltharion_5	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_tor_yvresse_hef_1	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_tor_yvresse_hef_2	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_tor_yvresse_hef_3	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_tor_yvresse_hef_4	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc15_special_settlement_tor_yvresse_hef_5	derpy_gg_built_overseers_hef	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc17_special_ironbrows_workshop	derpy_gg_built_daemonsmiths_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_dlc17_special_lost_underway_junction	derpy_gg_built_overseers_dwf	building_to_building_own	1.0000	1.0000	0.0000	
wh2_main_brt_defence_norsca_1	derpy_gg_built_immortals_brt	building_to_building_own	1.0000	1.0000	0.0000	
