member	value
#campaign_group_member_criteria_values_tables;0;db/campaign_group_member_criteria_values_tables/derpy_great_guilds	
derpy_gg_event_feed_hit	5001
derpy_gg_event_feed_demand	5002
derpy_gg_event_feed_lead	5003
derpy_gg_event_feed_rank	5004
derpy_gg_event_feed_hit_emp	5011
derpy_gg_event_feed_demand_emp	5012
derpy_gg_event_feed_lead_emp	5013
derpy_gg_event_feed_rank_emp	5014
derpy_gg_event_feed_hit_dwf	5021
derpy_gg_event_feed_demand_dwf	5022
derpy_gg_event_feed_lead_dwf	5023
derpy_gg_event_feed_rank_dwf	5024
derpy_gg_event_feed_hit_brt	5041
derpy_gg_event_feed_demand_brt	5042
derpy_gg_event_feed_lead_brt	5043
derpy_gg_event_feed_rank_brt	5044
derpy_gg_event_feed_hit_cth	5051
derpy_gg_event_feed_demand_cth	5052
derpy_gg_event_feed_lead_cth	5053
derpy_gg_event_feed_rank_cth	5054
derpy_gg_event_feed_hit_ksl	5061
derpy_gg_event_feed_demand_ksl	5062
derpy_gg_event_feed_lead_ksl	5063
derpy_gg_event_feed_rank_ksl	5064
derpy_gg_event_feed_hit_def	5071
derpy_gg_event_feed_demand_def	5072
derpy_gg_event_feed_lead_def	5073
derpy_gg_event_feed_rank_def	5074
derpy_gg_event_feed_hit_hef	5081
derpy_gg_event_feed_demand_hef	5082
derpy_gg_event_feed_lead_hef	5083
derpy_gg_event_feed_rank_hef	5084
derpy_gg_event_feed_hit_gen	5031
derpy_gg_event_feed_demand_gen	5032
derpy_gg_event_feed_lead_gen	5033
derpy_gg_event_feed_rank_gen	5034
