group	id	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/derpy_great_guilds		
derpy_gg_event_feed_hit	derpy_gg_event_feed_hit	0
derpy_gg_event_feed_demand	derpy_gg_event_feed_demand	0
derpy_gg_event_feed_lead	derpy_gg_event_feed_lead	0
derpy_gg_event_feed_rank	derpy_gg_event_feed_rank	0
derpy_gg_event_feed_hit_emp	derpy_gg_event_feed_hit_emp	0
derpy_gg_event_feed_demand_emp	derpy_gg_event_feed_demand_emp	0
derpy_gg_event_feed_lead_emp	derpy_gg_event_feed_lead_emp	0
derpy_gg_event_feed_rank_emp	derpy_gg_event_feed_rank_emp	0
derpy_gg_event_feed_hit_dwf	derpy_gg_event_feed_hit_dwf	0
derpy_gg_event_feed_demand_dwf	derpy_gg_event_feed_demand_dwf	0
derpy_gg_event_feed_lead_dwf	derpy_gg_event_feed_lead_dwf	0
derpy_gg_event_feed_rank_dwf	derpy_gg_event_feed_rank_dwf	0
derpy_gg_event_feed_hit_brt	derpy_gg_event_feed_hit_brt	0
derpy_gg_event_feed_demand_brt	derpy_gg_event_feed_demand_brt	0
derpy_gg_event_feed_lead_brt	derpy_gg_event_feed_lead_brt	0
derpy_gg_event_feed_rank_brt	derpy_gg_event_feed_rank_brt	0
derpy_gg_event_feed_hit_cth	derpy_gg_event_feed_hit_cth	0
derpy_gg_event_feed_demand_cth	derpy_gg_event_feed_demand_cth	0
derpy_gg_event_feed_lead_cth	derpy_gg_event_feed_lead_cth	0
derpy_gg_event_feed_rank_cth	derpy_gg_event_feed_rank_cth	0
derpy_gg_event_feed_hit_ksl	derpy_gg_event_feed_hit_ksl	0
derpy_gg_event_feed_demand_ksl	derpy_gg_event_feed_demand_ksl	0
derpy_gg_event_feed_lead_ksl	derpy_gg_event_feed_lead_ksl	0
derpy_gg_event_feed_rank_ksl	derpy_gg_event_feed_rank_ksl	0
derpy_gg_event_feed_hit_def	derpy_gg_event_feed_hit_def	0
derpy_gg_event_feed_demand_def	derpy_gg_event_feed_demand_def	0
derpy_gg_event_feed_lead_def	derpy_gg_event_feed_lead_def	0
derpy_gg_event_feed_rank_def	derpy_gg_event_feed_rank_def	0
derpy_gg_event_feed_hit_hef	derpy_gg_event_feed_hit_hef	0
derpy_gg_event_feed_demand_hef	derpy_gg_event_feed_demand_hef	0
derpy_gg_event_feed_lead_hef	derpy_gg_event_feed_lead_hef	0
derpy_gg_event_feed_rank_hef	derpy_gg_event_feed_rank_hef	0
derpy_gg_event_feed_hit_gen	derpy_gg_event_feed_hit_gen	0
derpy_gg_event_feed_demand_gen	derpy_gg_event_feed_demand_gen	0
derpy_gg_event_feed_lead_gen	derpy_gg_event_feed_lead_gen	0
derpy_gg_event_feed_rank_gen	derpy_gg_event_feed_rank_gen	0
