key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/derpy_great_guilds								
derpy_gg_rank_brass_2		The Brass Tablets - Indebted	faction	1		true	false	true
derpy_gg_rank_brass_3		The Brass Tablets - Sworn	faction	1		true	false	true
derpy_gg_rank_brass_4		The Brass Tablets - Favoured	faction	1		true	false	true
derpy_gg_rank_brass_5		The Brass Tablets - Exalted	faction	1		true	false	true
derpy_gg_lead_brass		The Brass Tablets - Foremost	faction	1		true	false	true
derpy_gg_rank_immortals_2		The Immortals - Indebted	faction	1		true	false	true
derpy_gg_rank_immortals_3		The Immortals - Sworn	faction	1		true	false	true
derpy_gg_rank_immortals_4		The Immortals - Favoured	faction	1		true	false	true
derpy_gg_rank_immortals_5		The Immortals - Exalted	faction	1		true	false	true
derpy_gg_lead_immortals		The Immortals - Foremost	faction	1		true	false	true
derpy_gg_rank_daemonsmiths_2		The Daemonsmiths - Indebted	faction	1		true	false	true
derpy_gg_rank_daemonsmiths_3		The Daemonsmiths - Sworn	faction	1		true	false	true
derpy_gg_rank_daemonsmiths_4		The Daemonsmiths - Favoured	faction	1		true	false	true
derpy_gg_rank_daemonsmiths_5		The Daemonsmiths - Exalted	faction	1		true	false	true
derpy_gg_lead_daemonsmiths		The Daemonsmiths - Foremost	faction	1		true	false	true
derpy_gg_rank_khanate_2		The Khanate - Indebted	faction	1		true	false	true
derpy_gg_rank_khanate_3		The Khanate - Sworn	faction	1		true	false	true
derpy_gg_rank_khanate_4		The Khanate - Favoured	faction	1		true	false	true
derpy_gg_rank_khanate_5		The Khanate - Exalted	faction	1		true	false	true
derpy_gg_lead_khanate		The Khanate - Foremost	faction	1		true	false	true
derpy_gg_rank_overseers_2		The Overseers - Indebted	faction	1		true	false	true
derpy_gg_rank_overseers_3		The Overseers - Sworn	faction	1		true	false	true
derpy_gg_rank_overseers_4		The Overseers - Favoured	faction	1		true	false	true
derpy_gg_rank_overseers_5		The Overseers - Exalted	faction	1		true	false	true
derpy_gg_lead_overseers		The Overseers - Foremost	faction	1		true	false	true
derpy_gg_rank_slavers_2		The Slavers - Indebted	faction	1		true	false	true
derpy_gg_rank_slavers_3		The Slavers - Sworn	faction	1		true	false	true
derpy_gg_rank_slavers_4		The Slavers - Favoured	faction	1		true	false	true
derpy_gg_rank_slavers_5		The Slavers - Exalted	faction	1		true	false	true
derpy_gg_lead_slavers		The Slavers - Foremost	faction	1		true	false	true
derpy_gg_patron		Guild Patron	force	1		true	false	true
derpy_gg_svc_writ_monopoly		Writ of Monopoly	faction	1		true	false	true
derpy_gg_svc_long_ledger		The Long Ledger	faction	1		true	false	true
derpy_gg_svc_oathbound_draft		Oathbound Draft	faction	1		true	false	true
derpy_gg_svc_astragoths_levy		Astragoth's Levy	faction	1		true	false	true
derpy_gg_svc_forge_rite		Forge-Rite	faction	1		true	false	true
derpy_gg_svc_bound_ordnance		Daemon-Bound Ordnance	faction	1		true	false	true
derpy_gg_svc_knife_in_dark		Knife in the Dark	faction	1		true	false	true
derpy_gg_svc_khans_price		The Khan's Price	faction	1		true	false	true
derpy_gg_svc_lash_the_gangs		Lash the Gangs	faction	1		true	false	true
derpy_gg_svc_works_of_zharr		Works of Zharr	faction	1		true	false	true
derpy_gg_svc_coffle_drive		Coffle Drive	faction	1		true	false	true
derpy_gg_svc_great_coffle		The Great Coffle	faction	1		true	false	true
derpy_gg_rank_brass_2_emp		The Merchant Guilds - Apprentice	faction	1		true	false	true
derpy_gg_rank_brass_3_emp		The Merchant Guilds - Journeyman	faction	1		true	false	true
derpy_gg_rank_brass_4_emp		The Merchant Guilds - Master	faction	1		true	false	true
derpy_gg_rank_brass_5_emp		The Merchant Guilds - Grand Master	faction	1		true	false	true
derpy_gg_lead_brass_emp		The Merchant Guilds - Foremost	faction	1		true	false	true
derpy_gg_rank_immortals_2_emp		The Greatswords - Apprentice	faction	1		true	false	true
derpy_gg_rank_immortals_3_emp		The Greatswords - Journeyman	faction	1		true	false	true
derpy_gg_rank_immortals_4_emp		The Greatswords - Master	faction	1		true	false	true
derpy_gg_rank_immortals_5_emp		The Greatswords - Grand Master	faction	1		true	false	true
derpy_gg_lead_immortals_emp		The Greatswords - Foremost	faction	1		true	false	true
derpy_gg_rank_daemonsmiths_2_emp		The Engineers' School - Apprentice	faction	1		true	false	true
derpy_gg_rank_daemonsmiths_3_emp		The Engineers' School - Journeyman	faction	1		true	false	true
derpy_gg_rank_daemonsmiths_4_emp		The Engineers' School - Master	faction	1		true	false	true
derpy_gg_rank_daemonsmiths_5_emp		The Engineers' School - Grand Master	faction	1		true	false	true
derpy_gg_lead_daemonsmiths_emp		The Engineers' School - Foremost	faction	1		true	false	true
derpy_gg_rank_khanate_2_emp		The Thieves' Guild - Apprentice	faction	1		true	false	true
derpy_gg_rank_khanate_3_emp		The Thieves' Guild - Journeyman	faction	1		true	false	true
derpy_gg_rank_khanate_4_emp		The Thieves' Guild - Master	faction	1		true	false	true
derpy_gg_rank_khanate_5_emp		The Thieves' Guild - Grand Master	faction	1		true	false	true
derpy_gg_lead_khanate_emp		The Thieves' Guild - Foremost	faction	1		true	false	true
derpy_gg_rank_overseers_2_emp		The Masons' Guild - Apprentice	faction	1		true	false	true
derpy_gg_rank_overseers_3_emp		The Masons' Guild - Journeyman	faction	1		true	false	true
derpy_gg_rank_overseers_4_emp		The Masons' Guild - Master	faction	1		true	false	true
derpy_gg_rank_overseers_5_emp		The Masons' Guild - Grand Master	faction	1		true	false	true
derpy_gg_lead_overseers_emp		The Masons' Guild - Foremost	faction	1		true	false	true
derpy_gg_rank_slavers_2_emp		The Free Companies - Apprentice	faction	1		true	false	true
derpy_gg_rank_slavers_3_emp		The Free Companies - Journeyman	faction	1		true	false	true
derpy_gg_rank_slavers_4_emp		The Free Companies - Master	faction	1		true	false	true
derpy_gg_rank_slavers_5_emp		The Free Companies - Grand Master	faction	1		true	false	true
derpy_gg_lead_slavers_emp		The Free Companies - Foremost	faction	1		true	false	true
derpy_gg_svc_writ_monopoly_emp		Imperial Charter	faction	1		true	false	true
derpy_gg_svc_long_ledger_emp		The Altdorf Exchange	faction	1		true	false	true
derpy_gg_svc_oathbound_draft_emp		Muster Roll	faction	1		true	false	true
derpy_gg_svc_astragoths_levy_emp		The Emperor's Levy	faction	1		true	false	true
derpy_gg_svc_forge_rite_emp		Proving Grounds	faction	1		true	false	true
derpy_gg_svc_bound_ordnance_emp		Guns of Nuln	faction	1		true	false	true
derpy_gg_svc_knife_in_dark_emp		Knife in the Alley	faction	1		true	false	true
derpy_gg_svc_khans_price_emp		Protection Money	faction	1		true	false	true
derpy_gg_svc_lash_the_gangs_emp		Overtime Wages	faction	1		true	false	true
derpy_gg_svc_works_of_zharr_emp		The Emperor's Works	faction	1		true	false	true
derpy_gg_svc_coffle_drive_emp		Plunder Rights	faction	1		true	false	true
derpy_gg_svc_great_coffle_emp		The Grand Pillage	faction	1		true	false	true
derpy_gg_rank_brass_2_dwf		The Merchant Clans - Beardling	faction	1		true	false	true
derpy_gg_rank_brass_3_dwf		The Merchant Clans - Oathsworn	faction	1		true	false	true
derpy_gg_rank_brass_4_dwf		The Merchant Clans - Longbeard	faction	1		true	false	true
derpy_gg_rank_brass_5_dwf		The Merchant Clans - Elder	faction	1		true	false	true
derpy_gg_lead_brass_dwf		The Merchant Clans - Foremost	faction	1		true	false	true
derpy_gg_rank_immortals_2_dwf		The Hammerers - Beardling	faction	1		true	false	true
derpy_gg_rank_immortals_3_dwf		The Hammerers - Oathsworn	faction	1		true	false	true
derpy_gg_rank_immortals_4_dwf		The Hammerers - Longbeard	faction	1		true	false	true
derpy_gg_rank_immortals_5_dwf		The Hammerers - Elder	faction	1		true	false	true
derpy_gg_lead_immortals_dwf		The Hammerers - Foremost	faction	1		true	false	true
derpy_gg_rank_daemonsmiths_2_dwf		The Engineers' Guild - Beardling	faction	1		true	false	true
derpy_gg_rank_daemonsmiths_3_dwf		The Engineers' Guild - Oathsworn	faction	1		true	false	true
derpy_gg_rank_daemonsmiths_4_dwf		The Engineers' Guild - Longbeard	faction	1		true	false	true
derpy_gg_rank_daemonsmiths_5_dwf		The Engineers' Guild - Elder	faction	1		true	false	true
derpy_gg_lead_daemonsmiths_dwf		The Engineers' Guild - Foremost	faction	1		true	false	true
derpy_gg_rank_khanate_2_dwf		The Rangers - Beardling	faction	1		true	false	true
derpy_gg_rank_khanate_3_dwf		The Rangers - Oathsworn	faction	1		true	false	true
derpy_gg_rank_khanate_4_dwf		The Rangers - Longbeard	faction	1		true	false	true
derpy_gg_rank_khanate_5_dwf		The Rangers - Elder	faction	1		true	false	true
derpy_gg_lead_khanate_dwf		The Rangers - Foremost	faction	1		true	false	true
derpy_gg_rank_overseers_2_dwf		The Miners' Guild - Beardling	faction	1		true	false	true
