effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/derpy_great_guilds				
derpy_gg_rank_brass_2	wh_main_effect_economy_gdp_mod_all	faction_to_region_own	3	start_turn_completed
derpy_gg_rank_brass_3	wh_main_effect_economy_gdp_mod_all	faction_to_region_own	6	start_turn_completed
derpy_gg_rank_brass_4	wh_main_effect_economy_gdp_mod_all	faction_to_region_own	10	start_turn_completed
derpy_gg_rank_brass_5	wh_main_effect_economy_gdp_mod_all	faction_to_region_own	15	start_turn_completed
derpy_gg_lead_brass	wh_main_effect_economy_gdp_mod_all	faction_to_region_own	10	start_turn_completed
derpy_gg_rank_immortals_2	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	3	start_turn_completed
derpy_gg_rank_immortals_3	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	6	start_turn_completed
derpy_gg_rank_immortals_3	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own	1	start_turn_completed
derpy_gg_rank_immortals_4	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	10	start_turn_completed
derpy_gg_rank_immortals_4	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own	2	start_turn_completed
derpy_gg_rank_immortals_5	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	15	start_turn_completed
derpy_gg_rank_immortals_5	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own	3	start_turn_completed
derpy_gg_lead_immortals	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	10	start_turn_completed
derpy_gg_rank_daemonsmiths_2	wh_main_effect_technology_research_rate_mod	faction_to_faction_own	3	start_turn_completed
derpy_gg_rank_daemonsmiths_3	wh_main_effect_technology_research_rate_mod	faction_to_faction_own	6	start_turn_completed
derpy_gg_rank_daemonsmiths_4	wh_main_effect_technology_research_rate_mod	faction_to_faction_own	10	start_turn_completed
derpy_gg_rank_daemonsmiths_5	wh_main_effect_technology_research_rate_mod	faction_to_faction_own	15	start_turn_completed
derpy_gg_lead_daemonsmiths	wh_main_effect_technology_research_rate_mod	faction_to_faction_own	10	start_turn_completed
derpy_gg_rank_khanate_2	wh_main_effect_agent_recruitment_cost_mod	faction_to_province_own	-3	start_turn_completed
derpy_gg_rank_khanate_3	wh_main_effect_agent_recruitment_cost_mod	faction_to_province_own	-6	start_turn_completed
derpy_gg_rank_khanate_4	wh_main_effect_agent_recruitment_cost_mod	faction_to_province_own	-10	start_turn_completed
derpy_gg_rank_khanate_5	wh_main_effect_agent_recruitment_cost_mod	faction_to_province_own	-15	start_turn_completed
derpy_gg_lead_khanate	wh_main_effect_agent_recruitment_cost_mod	faction_to_province_own	-10	start_turn_completed
derpy_gg_rank_overseers_2	wh2_dlc11_effect_building_construction_cost_mod_all_settlement	faction_to_region_own	-3	start_turn_completed
derpy_gg_rank_overseers_3	wh2_dlc11_effect_building_construction_cost_mod_all_settlement	faction_to_region_own	-6	start_turn_completed
