effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;0;db/effects_tables/derpy_great_guilds					
derpy_gg_built_brass	income.png	1	income.png	campaign	true
derpy_gg_built_immortals	replenishment.png	1	replenishment.png	campaign	true
derpy_gg_built_daemonsmiths	technology.png	1	technology.png	campaign	true
derpy_gg_built_khanate	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_overseers	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_slavers	income.png	1	income.png	campaign	true
derpy_gg_built_brass_emp	income.png	1	income.png	campaign	true
derpy_gg_built_immortals_emp	replenishment.png	1	replenishment.png	campaign	true
derpy_gg_built_daemonsmiths_emp	technology.png	1	technology.png	campaign	true
derpy_gg_built_khanate_emp	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_overseers_emp	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_slavers_emp	income.png	1	income.png	campaign	true
derpy_gg_built_brass_dwf	income.png	1	income.png	campaign	true
derpy_gg_built_immortals_dwf	replenishment.png	1	replenishment.png	campaign	true
derpy_gg_built_daemonsmiths_dwf	technology.png	1	technology.png	campaign	true
derpy_gg_built_khanate_dwf	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_overseers_dwf	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_slavers_dwf	income.png	1	income.png	campaign	true
derpy_gg_built_brass_brt	income.png	1	income.png	campaign	true
derpy_gg_built_immortals_brt	replenishment.png	1	replenishment.png	campaign	true
derpy_gg_built_daemonsmiths_brt	technology.png	1	technology.png	campaign	true
derpy_gg_built_khanate_brt	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_overseers_brt	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_slavers_brt	income.png	1	income.png	campaign	true
derpy_gg_built_brass_cth	income.png	1	income.png	campaign	true
derpy_gg_built_immortals_cth	replenishment.png	1	replenishment.png	campaign	true
derpy_gg_built_daemonsmiths_cth	technology.png	1	technology.png	campaign	true
derpy_gg_built_khanate_cth	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_overseers_cth	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_slavers_cth	income.png	1	income.png	campaign	true
derpy_gg_built_brass_ksl	income.png	1	income.png	campaign	true
derpy_gg_built_immortals_ksl	replenishment.png	1	replenishment.png	campaign	true
derpy_gg_built_daemonsmiths_ksl	technology.png	1	technology.png	campaign	true
derpy_gg_built_khanate_ksl	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_overseers_ksl	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_slavers_ksl	income.png	1	income.png	campaign	true
derpy_gg_built_brass_def	income.png	1	income.png	campaign	true
derpy_gg_built_immortals_def	replenishment.png	1	replenishment.png	campaign	true
derpy_gg_built_daemonsmiths_def	technology.png	1	technology.png	campaign	true
derpy_gg_built_khanate_def	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_overseers_def	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_slavers_def	income.png	1	income.png	campaign	true
derpy_gg_built_brass_hef	income.png	1	income.png	campaign	true
derpy_gg_built_immortals_hef	replenishment.png	1	replenishment.png	campaign	true
derpy_gg_built_daemonsmiths_hef	technology.png	1	technology.png	campaign	true
derpy_gg_built_khanate_hef	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_overseers_hef	treasury.png	1	treasury.png	campaign	true
derpy_gg_built_slavers_hef	income.png	1	income.png	campaign	true
