key	mission_type	localised_title	localised_description	ui_image	ui_icon	generate	prioritised	event_category	set_piece_battle	location_x	location_y	quest_mission	quest_mission_final	trigger_radius	quest_character	sticky_by_default	localised_mission_completed_text	can_be_manually_cancelled
#missions_tables;0;db/missions_tables/derpy_great_guilds																		
derpy_gg_bounty_brass	CAPTURE_REGIONS	Seize the Market	The Tablets want the tolls of that place counted in our column. Take it intact.	chd/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_immortals	ELIMINATE_CHARACTER_IN_BATTLE	Break Their Champion	A general is being spoken of with respect. Correct that.	chd/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_daemonsmiths	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	Strip the Works	Everything in that place that was forged can be forged again, here. Bring it back in pieces.	chd/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_khanate	ELIMINATE_CHARACTER_IN_BATTLE	A Knife for a Name	The Khanate does not care how it is done, only that the name stops being used.	chd/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_overseers	CAPTURE_REGIONS	Hands, Not Ashes	Take it whole. Ashes cannot be put to work, and the Overseers are counting hands.	chd/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_slavers	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	Fill the Coffles	Empty it. The column that leaves is the payment, and it is measured in bodies.	chd/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_brass_emp	CAPTURE_REGIONS	Open the Market	The Merchant Guilds want that town's tolls paid in Altdorf. Take it intact.	emp/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_immortals_emp	ELIMINATE_CHARACTER_IN_BATTLE	A Duel for the Banner	A general is being spoken of with respect. The Greatswords would like that corrected.	emp/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_daemonsmiths_emp	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	Salvage the Works	Whatever that place has built, the School wants on its own benches. Bring it back in pieces.	emp/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_khanate_emp	ELIMINATE_CHARACTER_IN_BATTLE	A Name Crossed Out	The Guild does not care how it is done, only that the name stops being used.	emp/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_overseers_emp	CAPTURE_REGIONS	Stone Still Standing	Take it whole. The Masons want the walls left up, so they can be paid to mend them.	emp/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_slavers_emp	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	Pay Day	Empty it. The companies are owed, and that place can pay them.	emp/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_brass_dwf	CAPTURE_REGIONS	Reopen the Road	The Merchant Clans want that place back in their ledgers. Take it intact.	dwf/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_immortals_dwf	ELIMINATE_CHARACTER_IN_BATTLE	A Grudge on a Name	A general has been boasting. The Hammerers would like that settled.	dwf/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_daemonsmiths_dwf	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	Recover the Craft	Whatever was forged in that place was likely stolen from us first. Bring it back in pieces.	dwf/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_khanate_dwf	ELIMINATE_CHARACTER_IN_BATTLE	Silence in the Passes	The Rangers want the name stopped. How is their affair.	dwf/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_overseers_dwf	CAPTURE_REGIONS	Reclaim the Hold	Take it whole. The Miners' Guild wants tunnels, not rubble.	dwf/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_slavers_dwf	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	Strike a Line	Sack it. One more grudge struck from the Book, and paid for.	dwf/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_brass_brt	CAPTURE_REGIONS	Open the Cellars	The Wine Merchants want that town's trade flowing to Bordeleaux. Take it intact.	brt/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_immortals_brt	ELIMINATE_CHARACTER_IN_BATTLE	A Challenge of Honour	A general is being spoken of with respect. The Knights Errant would like to test that.	brt/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_daemonsmiths_brt	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	Out of Unworthy Hands	Whatever that place keeps, the Damsels want it taken from those who should not have it. Bring it back in pieces.	brt/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_khanate_brt	ELIMINATE_CHARACTER_IN_BATTLE	A Name in the Forest	The Outlaws do not care how it is done, only that the name stops being used.	brt/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_overseers_brt	CAPTURE_REGIONS	A Keep Worth Keeping	Take it whole. The Castle-Wrights want a keep to improve, not rubble.	brt/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_slavers_brt	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	A Crusade's Worth	Sack it. The Crusaders are owed, and that place can pay.	brt/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_brass_cth	CAPTURE_REGIONS	Open the Road	The Caravan Masters want that town's markets on the Ivory Road. Take it intact.	cth/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_immortals_cth	ELIMINATE_CHARACTER_IN_BATTLE	A Lesson in Respect	A general is being spoken of with respect. The Dragon Guard would like that corrected.	cth/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_daemonsmiths_cth	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	Collect the Texts	Whatever that place has written down, the Academy wants in its archive. Bring it back in pieces.	cth/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_khanate_cth	ELIMINATE_CHARACTER_IN_BATTLE	A Name Forgotten	The Society does not care how it is done, only that the name stops being used.	cth/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_overseers_cth	CAPTURE_REGIONS	Walls for the Empire	Take it whole. The Bastion Builders want walls to strengthen, not rubble.	cth/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_slavers_cth	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	Punish Them	Sack it. The Host is owed, and that place can pay.	cth/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_brass_ksl	CAPTURE_REGIONS	Open the Market	The Erengrad Merchants want that town's trade in their ledgers. Take it intact.	emp/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_immortals_ksl	ELIMINATE_CHARACTER_IN_BATTLE	A Duel in the Snow	A general is being spoken of with respect. The Tzar Guard would like that corrected.	emp/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_daemonsmiths_ksl	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	Claim the Lore	Whatever that place knows, the Ice Court wants. Bring it back in pieces.	emp/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_khanate_ksl	ELIMINATE_CHARACTER_IN_BATTLE	Lost in the Snow	The Smugglers do not care how it is done, only that the name stops being used.	emp/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
derpy_gg_bounty_overseers_ksl	CAPTURE_REGIONS	Hold the Line	Take it whole. The Stanitsa Builders want walls that hold, not rubble.	emp/generic	rom_event_mission.png	false	false	Quest		0	0	false	false	0.0000		false	The guild has been paid in full, and so have you.	true
